POPULATION;NOIND;conso_gpe1;conso_gpe2;conso_gpe3;conso_gpe4;conso_gpe5;conso_gpe6;conso_gpe7;conso_gpe8;conso_gpe9;conso_gpe10;conso_gpe11;conso_gpe12;conso_gpe13;conso_gpe14;conso_gpe15;conso_gpe16;conso_gpe17;conso_gpe18;conso_gpe19;conso_gpe20;conso_gpe21;conso_gpe22;conso_gpe23;conso_gpe24;conso_gpe25;conso_gpe26;conso_gpe27;conso_gpe28;conso_gpe29;conso_gpe30;conso_gpe31;conso_gpe32;conso_gpe33;conso_gpe34;conso_gpe35;conso_gpe36;conso_gpe37;conso_gpe38;conso_gpe39;conso_gpe40;conso_gpe41;conso_gpe42;conso_gpe43;conso_gpe44
Pop3;121401001;31.714287;0;54.285713;169.28571;0;163;550;0;14.500001;167.85715;8.8535719;53.62809;.55542862;0;22.857145;4.2514291;60.049198;6.7857151;10.308573;0;25.985718;0;358.54761;11.880001;0;0;4.5714288;0;40.625004;0;487.28571;78.464287;0;339.10953;0;142.85713;0;0;0;38.57143;107.46857;0;0;0
Pop3;121401101;48.600002;35.244644;0;24.285713;0;31.428574;0;0;0;0;28.714285;9.2714281;9.1142855;0;61.607143;44.762856;9.6428576;0;0;40.000004;182.17145;0;99.64286;0;0;0;.53571427;2.1428571;1036.1606;0;356.84821;0;0;57.142853;0;0;0;0;25.714287;212.5;26.993572;0;0;0
Pop3;121401401;0;0;0;52.285721;0;49.705357;121.33334;205.35715;0;0;0;5.4214282;2.5714285;0;108.72857;56.42857;26.785713;51.428574;47.857143;0;0;67.5;0;0;0;0;0;10.928572;0;40.000004;317.9696;0;0;466.66669;0;0;0;0;350;0;10.285715;0;0;0
Pop3;121402501;7.4523358;0;7.1428566;84.785713;0;124.58325;11.495536;35;18.92857;44.642857;0;1.7857141;3.3157141;0;6.2857146;0;0;21.428572;0;0;39.999996;0;64.322327;104.8425;121.42857;0;8.5400581;14.550275;81.666664;275.95239;0;15.22857;0;0;72.142853;0;0;28.571432;0;0;14.488214;166.60715;0;0
Pop3;121402601;47.632141;0;5.7142863;98.714287;0;42.857143;34.171429;17.857145;65.571426;89.285713;0;1.9428574;.97428584;8.8571434;65.714279;0;31.857143;0;0;0;50.268814;0;0;8.3914289;0;0;4.097744;0;0;574.28577;34.542862;0;0;0;0;0;0;10.142858;71.428566;0;11.464286;0;0;0
Pop3;121402901;24.321428;0;0;0;0;232.64285;0;357;0;0;0;18.111429;4.5857143;0;64.285713;29.14286;9.6428566;0;0;0;22.785715;26.785713;76.428566;17.242857;0;0;3.571429;15.714286;71.428566;726.96429;63.214291;156.46428;0;0;0;124.28571;0;0;0;60.285721;.71428567;0;0;0
Pop3;121403201;34.649998;0;26.285715;35;0;58.14286;44.571426;258.57141;0;0;0;.14285713;1.9714285;14.361428;7.1428566;0;45;0;0;0;0;0;16.428572;0;0;0;8.9285707;1.2857144;0;64.285713;170.00002;0;0;207.74144;0;0;0;0;0;11.428571;.64285713;0;0;0
Pop3;121600101;0;0;0;54.478577;0;95.695892;96.5625;54.64286;0;64.64286;0;.76428562;4.2448425;0;110.99643;0;0;0;0;0;76.718567;0;16.428572;29.699999;0;0;0;5.7142854;0;50;187.17856;59.428577;0;0;0;38.214283;0;0;42.000004;21.785713;0;0;0;0
Pop3;122101001;148.81294;0;0;36.428574;0;55.714283;0;117.85715;31.785715;64.571426;0;4.1999998;0;24.000002;0;39.600006;3.2142856;55.357143;0;0;71.625;13.714287;25;0;0;5.3571429;43.708019;4.1785712;22.857145;28.571426;34.285713;44.571426;0;51.684292;0;0;0;0;0;43.571426;10.928571;0;0;0
Pop3;122101201;29.400002;.625;21.428572;66.071426;0;28.571432;175.24715;44.642857;0;0;35.031429;0;7.0285716;0;21.428572;0;110.71429;0;0;0;0;0;58.571426;62.257141;0;0;11.014285;5.0815692;0;686.83032;63.846432;19.809523;0;54.761906;0;0;0;0;85.714294;49.10714;17.267855;0;0;0
