POPULATION;NOIND;periode_reference;conso_ca;conso_ca_regl;conso_ca_nb;conso_ca_regl_nb;indic_ca;indic_medic;indic_ni;saison_particuliere;saison_automne;saison_hiver;saison_printemps;saison_ete;saison_autre;saison_autre_libelle;saison_nsp
Pop1 Individu;113805401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113805701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113805801;4;1;1;1;1;1;0;0;1;;;1;;;                                                            ;
Pop1 Individu;113806001;4;1;1;2;2;1;1;0;1;;1;1;;;                                                            ;
Pop1 Individu;113806201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113806601;4;1;1;3;3;3;0;0;2;;;;;;                                                            ;
Pop1 Individu;113900101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;113900201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114200701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114201301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114400301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114400901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114401101;4;1;1;2;2;2;0;0;1;;1;;;;                                                            ;
Pop1 Individu;114402501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114403101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114403501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114403701;4;1;1;4;4;4;0;0;2;;;;;;                                                            ;
Pop1 Individu;114404001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114404701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114500101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114500301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114500401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114500601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114500801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114501201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114501401;4;1;1;2;2;2;0;0;2;;;;;;                                                            ;
Pop1 Individu;114800201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114800401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114800501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114800601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114800701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114801001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114900401;4;1;1;3;3;0;2;1;1;1;1;;;;                                                            ;
Pop1 Individu;114900701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114901301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114901401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114901501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114902101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114902701;4;1;1;1;1;1;0;0;1;;1;;;;                                                            ;
Pop1 Individu;114903101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114903301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114903501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114904401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;114904801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115000201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115100101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115100901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115102001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115300301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115400401;4;1;1;2;2;0;0;2;2;;;;;;                                                            ;
Pop1 Individu;115401301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115601701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115602001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115602201;4;1;1;1;1;1;0;0;1;;1;;;;                                                            ;
